Employee_ID,Age,Gender,Region,Industry,Job_Role,Years_of_Experience
EMP0080,27,Male,Asia,Consulting,Project Manager,21
EMP0081,54,Female,Asia,Education,Data Scientist,5
EMP0082,42,Non-binary,South America,Finance,Software Engineer,33
EMP0083,58,Prefer not to say,North America,Education,HR,32
EMP0084,26,Female,Europe,Healthcare,Project Manager,15
EMP0085,56,Male,Oceania,Retail,Designer,9
EMP0086,50,Male,Asia,Finance,Designer,20
EMP0087,55,Prefer not to say,North America,Manufacturing,Project Manager,10
EMP0088,22,Prefer not to say,Africa,Education,Data Scientist,26
EMP0089,24,Female,North America,Consulting,Designer,11
EMP0090,53,Prefer not to say,Oceania,Healthcare,Marketing,23
EMP0091,57,Female,Africa,Retail,Data Scientist,2
EMP0092,22,Female,South America,Manufacturing,Software Engineer,9
EMP0093,41,Male,Asia,IT,Data Scientist,31
EMP0094,46,Non-binary,Europe,Education,Data Scientist,34
EMP0095,60,Non-binary,Africa,Education,Project Manager,11
EMP0096,44,Female,Asia,Manufacturing,Project Manager,2
EMP0097,35,Male,Africa,Healthcare,Data Scientist,31
EMP0098,48,Male,South America,IT,Designer,32
EMP0099,31,Prefer not to say,Asia,Healthcare,Data Scientist,19
EMP0100,53,Male,Africa,IT,Project Manager,12
EMP0101,32,Prefer not to say,Asia,Manufacturing,Designer,32
EMP0102,33,Prefer not to say,Africa,Consulting,Sales,9
EMP0103,45,Prefer not to say,Africa,IT,Sales,3
EMP0104,50,Male,Africa,Finance,Software Engineer,18
EMP0105,41,Female,Africa,Education,Designer,30
EMP0106,43,Non-binary,South America,Healthcare,Data Scientist,18
EMP0107,29,Prefer not to say,South America,IT,HR,25
EMP0108,44,Prefer not to say,Europe,Healthcare,Software Engineer,27
EMP0109,50,Prefer not to say,Oceania,Healthcare,Software Engineer,2
EMP0110,36,Male,Asia,Finance,Data Scientist,4
EMP0111,34,Female,Africa,Education,Data Scientist,29
EMP0112,49,Male,Africa,Finance,HR,30
EMP0113,45,Female,Europe,Retail,Marketing,10
EMP0114,45,Prefer not to say,Europe,Retail,Data Scientist,21
EMP0115,53,Female,Oceania,Healthcare,Designer,25
EMP0116,29,Male,South America,Education,Marketing,35
EMP0117,34,Prefer not to say,North America,Finance,Project Manager,5
EMP0118,58,Female,Europe,Education,Data Scientist,25
EMP0119,38,Female,Europe,Manufacturing,Data Scientist,1
EMP0120,40,Prefer not to say,Africa,Consulting,Project Manager,27
EMP0121,45,Prefer not to say,South America,Manufacturing,Project Manager,29
EMP0122,43,Non-binary,Europe,Retail,Marketing,18
EMP0123,50,Male,Africa,Healthcare,Software Engineer,35
EMP0124,58,Prefer not to say,North America,Consulting,Sales,14
EMP0125,42,Non-binary,South America,Manufacturing,HR,27
EMP0126,53,Prefer not to say,South America,Finance,Data Scientist,27
EMP0127,36,Female,North America,Retail,Marketing,8
EMP0128,51,Female,Europe,Finance,Project Manager,21
EMP0129,27,Female,Europe,Consulting,Designer,15
EMP0130,22,Female,Oceania,Retail,Sales,21
EMP0131,32,Female,Africa,Education,Designer,16
EMP0132,32,Female,Africa,Manufacturing,Marketing,26
EMP0133,53,Male,South America,Retail,Marketing,4
EMP0134,26,Non-binary,Europe,Manufacturing,Marketing,29
EMP0135,60,Male,Oceania,Finance,Marketing,2
EMP0136,51,Non-binary,Oceania,IT,Marketing,26
EMP0137,44,Male,South America,Healthcare,Data Scientist,14
EMP0138,48,Non-binary,Oceania,IT,Sales,10
EMP0139,57,Non-binary,North America,Education,Data Scientist,34
EMP0140,49,Non-binary,Asia,Education,Project Manager,11
EMP0141,32,Non-binary,Africa,Education,Project Manager,12
EMP0142,49,Female,Asia,Healthcare,Project Manager,29
EMP0143,23,Female,Europe,Manufacturing,Designer,11
EMP0144,55,Prefer not to say,North America,Finance,Designer,3
EMP0145,47,Non-binary,Asia,Education,HR,18
EMP0146,48,Non-binary,Europe,Consulting,Marketing,5
EMP0147,36,Prefer not to say,Africa,Healthcare,Software Engineer,3
EMP0148,45,Male,North America,Finance,Designer,14
EMP0149,41,Female,Oceania,IT,Designer,10
EMP0150,50,Male,Oceania,Consulting,Designer,17
EMP0151,41,Female,Oceania,Consulting,Software Engineer,34
EMP0152,57,Female,Oceania,Consulting,Designer,20
EMP0153,30,Male,Africa,Healthcare,Software Engineer,29
EMP0154,23,Female,Asia,Consulting,Data Scientist,31
EMP0155,30,Male,North America,Consulting,Software Engineer,17
EMP0156,47,Female,North America,Healthcare,Project Manager,31
EMP0157,33,Prefer not to say,South America,Finance,Project Manager,23
EMP0158,32,Male,North America,Finance,Data Scientist,21
EMP0159,43,Male,South America,Manufacturing,Designer,6
EMP0160,43,Non-binary,Oceania,Healthcare,Software Engineer,14
EMP0161,35,Female,Africa,IT,Marketing,34
EMP0162,40,Female,Africa,Education,Data Scientist,24
EMP0163,29,Prefer not to say,South America,Consulting,Designer,3
EMP0164,24,Non-binary,Africa,Manufacturing,Data Scientist,5
EMP0165,40,Male,Oceania,Healthcare,Software Engineer,11
EMP0166,22,Female,Africa,Manufacturing,Software Engineer,10
EMP0167,48,Non-binary,Africa,Education,Software Engineer,35
EMP0168,60,Non-binary,Asia,Retail,Software Engineer,27
EMP0169,34,Prefer not to say,Europe,Healthcare,HR,15
EMP0170,50,Prefer not to say,Europe,Manufacturing,Project Manager,10
EMP0171,38,Male,North America,Retail,Designer,19
EMP0172,36,Male,Europe,Retail,Data Scientist,33
EMP0173,35,Non-binary,South America,Finance,Software Engineer,11
EMP0174,25,Prefer not to say,North America,Manufacturing,Designer,35
EMP0175,34,Non-binary,Europe,Education,HR,10
EMP0176,32,Prefer not to say,Europe,Healthcare,Project Manager,12
EMP0177,58,Prefer not to say,North America,Manufacturing,Marketing,14
EMP0178,40,Female,Europe,Finance,Project Manager,31
EMP0179,56,Female,South America,Healthcare,HR,32
EMP0180,44,Non-binary,South America,Education,HR,17
EMP0181,30,Non-binary,Europe,IT,Data Scientist,22
EMP0182,49,Non-binary,South America,Consulting,Marketing,29
EMP0183,26,Male,Europe,Healthcare,Designer,21
EMP0184,52,Male,Africa,IT,Data Scientist,22
EMP0185,24,Prefer not to say,Europe,Manufacturing,HR,13
EMP0186,40,Non-binary,Asia,Consulting,Designer,12
EMP0187,57,Non-binary,Oceania,Manufacturing,HR,11
EMP0188,23,Prefer not to say,Oceania,Consulting,Software Engineer,17
EMP0189,40,Prefer not to say,Oceania,IT,Data Scientist,35
EMP0190,45,Male,North America,Education,Data Scientist,15
EMP0191,46,Female,Europe,Finance,Data Scientist,11
EMP0192,37,Female,North America,Retail,Software Engineer,16
EMP0193,51,Female,South America,Healthcare,Software Engineer,4
EMP0194,52,Male,South America,IT,Sales,29
EMP0195,53,Male,Africa,Education,Data Scientist,22
EMP0196,39,Male,North America,Education,Sales,7
EMP0197,56,Female,Oceania,Healthcare,Designer,28
EMP0198,59,Non-binary,South America,Manufacturing,Marketing,13
EMP0199,28,Male,Oceania,Retail,Project Manager,7
EMP0200,36,Female,South America,Finance,Data Scientist,3
EMP0201,45,Non-binary,Oceania,Education,Sales,3
EMP0202,52,Male,Asia,Retail,Sales,2
EMP0203,55,Female,Asia,IT,Project Manager,32
EMP0204,58,Male,South America,Consulting,Sales,18
EMP0205,51,Prefer not to say,Asia,IT,Software Engineer,14
EMP0206,52,Male,Oceania,Finance,Data Scientist,5
EMP0207,54,Non-binary,Africa,IT,Project Manager,12
EMP0208,35,Male,Europe,Retail,Designer,2
EMP0209,39,Male,North America,Manufacturing,Marketing,19
EMP0210,47,Prefer not to say,Africa,Consulting,Sales,7
EMP0211,49,Male,Europe,Manufacturing,Project Manager,31
EMP0212,60,Prefer not to say,North America,Manufacturing,Marketing,33
EMP0213,47,Female,Oceania,Manufacturing,Software Engineer,11
EMP0214,27,Prefer not to say,Europe,Healthcare,Project Manager,22
EMP0215,46,Prefer not to say,South America,Consulting,Marketing,30
EMP0216,25,Non-binary,Europe,Manufacturing,Software Engineer,22
EMP0217,30,Male,Oceania,Education,HR,11
EMP0218,38,Prefer not to say,Europe,Education,Data Scientist,35
EMP0219,56,Female,Asia,Education,HR,5
EMP0220,42,Male,South America,Manufacturing,Sales,23
EMP0221,42,Prefer not to say,Oceania,Retail,Project Manager,18
EMP0222,30,Female,Asia,IT,HR,20
EMP0223,33,Male,Asia,Consulting,Software Engineer,6
EMP0224,28,Non-binary,Africa,Retail,Marketing,29
EMP0225,50,Non-binary,North America,Manufacturing,Designer,1
EMP0226,44,Male,Africa,Retail,Software Engineer,4
EMP0227,40,Female,South America,Healthcare,Data Scientist,6
EMP0228,23,Male,Asia,IT,Project Manager,8
EMP0229,30,Female,Oceania,Consulting,Marketing,32
EMP0230,42,Female,Europe,Manufacturing,HR,10
EMP0231,52,Male,Africa,Retail,Marketing,7
EMP0232,37,Male,Oceania,Healthcare,Marketing,29
EMP0233,28,Prefer not to say,Africa,Manufacturing,Marketing,19
EMP0234,31,Prefer not to say,Asia,Consulting,Software Engineer,18
EMP0235,23,Prefer not to say,Africa,Retail,Marketing,9
EMP0236,37,Male,Oceania,Finance,Data Scientist,18
EMP0237,25,Male,Europe,Healthcare,HR,33
EMP0238,55,Female,Europe,Manufacturing,Software Engineer,13
EMP0239,56,Non-binary,North America,IT,Marketing,4
EMP0240,51,Prefer not to say,South America,Manufacturing,Software Engineer,24
EMP0241,35,Male,Oceania,Education,HR,6
EMP0242,22,Non-binary,North America,Manufacturing,Sales,2
EMP0243,34,Non-binary,Oceania,Education,Project Manager,10
EMP0244,37,Prefer not to say,Europe,Retail,Sales,32
EMP0245,59,Prefer not to say,North America,Finance,Software Engineer,17
EMP0246,53,Female,South America,IT,Project Manager,25
EMP0247,38,Male,South America,Healthcare,Data Scientist,25
EMP0248,32,Male,Oceania,Manufacturing,Project Manager,17
EMP0249,36,Prefer not to say,Africa,Manufacturing,HR,17
EMP0250,29,Female,Africa,Manufacturing,Project Manager,18
EMP0251,38,Non-binary,South America,Manufacturing,Project Manager,26
EMP0252,32,Male,Oceania,Education,Project Manager,21
EMP0253,43,Prefer not to say,Oceania,IT,Sales,21
EMP0254,46,Prefer not to say,Africa,IT,HR,25
EMP0255,42,Prefer not to say,Africa,Education,Data Scientist,4
EMP0256,27,Male,Oceania,Education,Project Manager,25
EMP0257,54,Prefer not to say,Europe,Retail,Marketing,10
EMP0258,43,Male,Oceania,Healthcare,Designer,34
EMP0259,31,Female,Oceania,Education,Data Scientist,9
EMP0260,53,Non-binary,Asia,Education,Software Engineer,11
EMP0261,57,Non-binary,North America,Manufacturing,Software Engineer,3
EMP0262,50,Non-binary,Asia,Finance,Project Manager,20
EMP0263,37,Male,Africa,Education,Sales,18
EMP0264,58,Female,Asia,Retail,Project Manager,8
EMP0265,57,Non-binary,Europe,Manufacturing,Sales,32
EMP0266,50,Prefer not to say,Europe,Retail,Sales,21
EMP0267,48,Male,South America,Manufacturing,Project Manager,33
EMP0268,43,Non-binary,South America,Consulting,HR,15
EMP0269,58,Female,Europe,Retail,Marketing,12
EMP0270,30,Male,Africa,Education,Designer,32
EMP0271,44,Non-binary,South America,Finance,HR,3
EMP0272,41,Prefer not to say,Oceania,Finance,HR,28
EMP0273,60,Female,Asia,Healthcare,Marketing,17
EMP0274,58,Non-binary,Asia,Finance,Designer,35
EMP0275,60,Prefer not to say,Oceania,Consulting,Sales,7
EMP0276,27,Non-binary,Europe,Finance,Designer,34
EMP0277,38,Female,Asia,Manufacturing,Sales,18
EMP0278,56,Male,Asia,Healthcare,Marketing,8
EMP0279,31,Male,Africa,Finance,Designer,19
EMP0280,37,Prefer not to say,North America,Healthcare,Software Engineer,25
EMP0281,41,Female,Asia,Education,Software Engineer,2
EMP0282,58,Male,Europe,Education,Designer,10
EMP0283,49,Male,Asia,IT,Data Scientist,35
EMP0284,23,Non-binary,Asia,Healthcare,Data Scientist,18
EMP0285,24,Non-binary,Oceania,Manufacturing,Project Manager,12
EMP0286,41,Prefer not to say,Asia,Finance,Project Manager,35
EMP0287,32,Female,Africa,Consulting,HR,23
EMP0288,47,Prefer not to say,Africa,Healthcare,Sales,10
EMP0289,23,Non-binary,Africa,IT,Designer,22
EMP0290,34,Prefer not to say,North America,Retail,Marketing,14
EMP0291,42,Male,Europe,IT,Sales,32
EMP0292,42,Prefer not to say,Asia,IT,HR,10
EMP0293,33,Female,Africa,Education,Sales,22
EMP0294,40,Male,Asia,Healthcare,Designer,3
EMP0295,27,Male,Europe,Healthcare,Marketing,33
EMP0296,39,Prefer not to say,North America,Consulting,Data Scientist,33
EMP0297,42,Female,Europe,IT,Marketing,11
EMP0298,22,Non-binary,Asia,Healthcare,Sales,7
EMP0299,45,Female,North America,Finance,Marketing,9
EMP0300,47,Female,Oceania,Finance,Data Scientist,6
EMP0301,24,Non-binary,Oceania,Retail,Designer,16
EMP0302,48,Non-binary,Europe,IT,HR,2
EMP0303,60,Non-binary,Africa,Retail,Software Engineer,13
EMP0304,41,Non-binary,South America,Education,Software Engineer,20
EMP0305,49,Prefer not to say,Africa,Retail,Project Manager,17
EMP0306,27,Prefer not to say,Europe,Finance,Data Scientist,16
EMP0307,35,Prefer not to say,Asia,Manufacturing,Marketing,14
EMP0308,23,Male,North America,Consulting,Software Engineer,3
EMP0309,24,Prefer not to say,Africa,Finance,Designer,27
EMP0310,41,Non-binary,Africa,Education,Sales,25
EMP0311,41,Prefer not to say,Asia,IT,Designer,32
EMP0312,43,Female,Oceania,Finance,Data Scientist,16
EMP0313,30,Non-binary,South America,IT,Sales,15
EMP0314,44,Male,Africa,Retail,HR,26
EMP0315,50,Male,North America,Education,Marketing,22
EMP0316,48,Non-binary,Asia,Manufacturing,Designer,16
EMP0317,45,Male,Asia,IT,Marketing,2
EMP0318,60,Male,Europe,Education,HR,6
EMP0319,51,Prefer not to say,Africa,Education,Project Manager,6
EMP0320,48,Prefer not to say,Europe,Retail,HR,4
EMP0321,43,Female,Africa,Consulting,Marketing,25
EMP0322,23,Prefer not to say,South America,Education,Marketing,31
EMP0323,32,Male,Asia,Education,Marketing,1
EMP0324,44,Non-binary,Asia,Consulting,HR,29
EMP0325,36,Female,Oceania,Finance,Marketing,4
EMP0326,50,Male,Oceania,Manufacturing,Designer,2
EMP0327,54,Non-binary,North America,Consulting,Marketing,19
EMP0328,54,Male,Oceania,Healthcare,Designer,13
EMP0329,33,Prefer not to say,South America,Healthcare,HR,2
EMP0330,47,Prefer not to say,North America,Consulting,Sales,31
EMP0331,25,Prefer not to say,Africa,Education,Software Engineer,28
EMP0332,38,Male,Europe,Education,Sales,25
EMP0333,31,Female,Asia,Manufacturing,Software Engineer,21
EMP0334,58,Male,Oceania,IT,Marketing,11
EMP0335,28,Prefer not to say,Africa,Education,Designer,16
EMP0336,54,Prefer not to say,Asia,IT,Sales,32
EMP0337,60,Female,South America,IT,Software Engineer,31
EMP0338,38,Non-binary,North America,Consulting,Designer,4
EMP0339,31,Female,Europe,Finance,Sales,32
EMP0340,42,Non-binary,South America,IT,Designer,2
EMP0341,52,Female,North America,Manufacturing,Data Scientist,18
EMP0342,41,Female,Asia,Finance,HR,6
EMP0343,44,Male,North America,Finance,Project Manager,20
EMP0344,42,Female,South America,Finance,Data Scientist,15
EMP0345,53,Male,Africa,Healthcare,Software Engineer,3
EMP0346,52,Female,North America,Education,Software Engineer,29
EMP0347,23,Non-binary,Africa,Education,Marketing,12
EMP0348,24,Female,Africa,Finance,Sales,23
EMP0349,41,Prefer not to say,Asia,Consulting,Project Manager,34
EMP0350,60,Prefer not to say,Africa,Manufacturing,HR,16
EMP0351,25,Prefer not to say,South America,Manufacturing,Designer,6
EMP0352,55,Prefer not to say,North America,Healthcare,HR,18
EMP0353,33,Non-binary,South America,Retail,Software Engineer,3
EMP0354,43,Prefer not to say,Africa,Consulting,Data Scientist,14
EMP0355,59,Male,Africa,Education,Project Manager,20
EMP0356,48,Male,South America,Healthcare,Sales,2
EMP0357,31,Non-binary,Asia,Finance,HR,9
EMP0358,28,Male,Asia,Manufacturing,Designer,23
EMP0359,49,Male,South America,Manufacturing,Sales,6
EMP0360,56,Prefer not to say,Europe,Finance,HR,13
EMP0361,56,Non-binary,Asia,Retail,Sales,30
EMP0362,51,Female,Europe,Consulting,Sales,10
EMP0363,38,Non-binary,South America,Manufacturing,Designer,11
EMP0364,40,Male,South America,IT,Project Manager,9
EMP0365,56,Non-binary,Africa,Consulting,Project Manager,23
EMP0366,33,Non-binary,South America,IT,Sales,12
EMP0367,45,Male,Europe,Manufacturing,Marketing,28
EMP0368,55,Non-binary,Europe,IT,Sales,32
EMP0369,39,Female,South America,Manufacturing,Data Scientist,33
EMP0370,58,Non-binary,Africa,Education,Software Engineer,2
EMP0371,41,Non-binary,Oceania,Healthcare,Data Scientist,33
EMP0372,57,Prefer not to say,Europe,Healthcare,Marketing,16
EMP0373,31,Female,Africa,Education,Software Engineer,12
EMP0374,34,Prefer not to say,Oceania,Healthcare,Sales,25
EMP0375,39,Prefer not to say,Oceania,Healthcare,Software Engineer,8
EMP0376,29,Non-binary,Oceania,IT,Designer,26
EMP0377,31,Prefer not to say,South America,IT,Designer,7
EMP0378,30,Female,Europe,Healthcare,Designer,2
EMP0379,53,Prefer not to say,Africa,Healthcare,Designer,35
EMP0380,27,Male,Oceania,Consulting,Marketing,15
EMP0381,39,Male,Africa,Education,Designer,28
EMP0382,59,Male,South America,Education,Project Manager,18
EMP0383,58,Non-binary,North America,Consulting,HR,10
EMP0384,28,Prefer not to say,Europe,Education,Sales,5
EMP0385,56,Male,Asia,IT,Designer,27
EMP0386,31,Non-binary,Oceania,Healthcare,Project Manager,4
EMP0387,28,Female,Africa,Consulting,Sales,32
EMP0388,46,Female,Africa,Finance,Sales,20
EMP0389,32,Female,South America,Consulting,Sales,18
EMP0390,37,Male,Europe,Retail,Software Engineer,31
EMP0391,50,Prefer not to say,North America,Consulting,Project Manager,9
EMP0392,55,Female,South America,Retail,Marketing,29
EMP0393,45,Female,Africa,Retail,HR,17
EMP0394,50,Female,North America,Healthcare,Sales,31
EMP0395,43,Prefer not to say,Oceania,Finance,Project Manager,3
EMP0396,39,Non-binary,Africa,Healthcare,Marketing,20
EMP0397,30,Female,Europe,Consulting,Data Scientist,9
EMP0398,36,Male,Europe,Retail,Project Manager,4
EMP0399,58,Prefer not to say,Europe,Manufacturing,Designer,17
EMP0400,53,Prefer not to say,Africa,Healthcare,Data Scientist,34
EMP0401,56,Non-binary,Asia,IT,HR,13
EMP0402,57,Male,South America,Consulting,Project Manager,19
EMP0403,58,Male,Africa,Finance,Data Scientist,8
EMP0404,57,Female,Europe,Healthcare,Designer,22
EMP0405,46,Non-binary,Asia,Consulting,Data Scientist,14
EMP0406,42,Female,Europe,Manufacturing,HR,33
EMP0407,24,Prefer not to say,South America,Healthcare,Project Manager,30
EMP0408,53,Female,Oceania,Retail,HR,10
EMP0409,24,Female,North America,Finance,Data Scientist,35
EMP0410,30,Non-binary,South America,Consulting,Project Manager,20
EMP0411,22,Prefer not to say,Europe,Healthcare,Software Engineer,6
EMP0412,28,Non-binary,South America,Retail,Designer,22
EMP0413,52,Non-binary,Europe,Education,Sales,25
EMP0414,47,Prefer not to say,South America,Manufacturing,Project Manager,21
EMP0415,30,Male,Oceania,Manufacturing,Data Scientist,14
EMP0416,52,Female,North America,Healthcare,Sales,26
EMP0417,25,Prefer not to say,Asia,Healthcare,Sales,9
EMP0418,50,Non-binary,Oceania,Consulting,HR,22
EMP0419,60,Female,Asia,Education,HR,34
EMP0420,48,Female,Africa,IT,Marketing,30
EMP0421,28,Male,Asia,IT,HR,32
EMP0422,23,Prefer not to say,Oceania,Finance,Marketing,5
EMP0423,26,Male,Europe,Education,Project Manager,21
EMP0424,27,Female,North America,Consulting,Marketing,32
EMP0425,52,Non-binary,Asia,Finance,Sales,30
EMP0426,32,Prefer not to say,Asia,Consulting,Software Engineer,28
EMP0427,23,Prefer not to say,Europe,Finance,Sales,4
EMP0428,41,Prefer not to say,Oceania,IT,Sales,19
EMP0429,33,Female,North America,IT,Project Manager,25
EMP0430,37,Non-binary,Europe,Consulting,Sales,9
EMP0431,33,Male,Oceania,Consulting,Project Manager,10
EMP0432,28,Non-binary,North America,Finance,Marketing,26
EMP0433,57,Non-binary,South America,Consulting,Project Manager,26
EMP0434,45,Female,Oceania,Finance,Designer,11
EMP0435,50,Female,Oceania,Consulting,Data Scientist,25
EMP0436,53,Non-binary,Oceania,Healthcare,Marketing,3
EMP0437,58,Prefer not to say,Europe,Healthcare,HR,29
EMP0438,48,Prefer not to say,Asia,Education,Project Manager,7
EMP0439,42,Prefer not to say,Europe,Manufacturing,Sales,28
EMP0440,22,Non-binary,Asia,Retail,Software Engineer,7
EMP0441,23,Female,South America,Retail,Data Scientist,34
EMP0442,59,Prefer not to say,North America,Finance,HR,3
EMP0443,50,Non-binary,Oceania,Consulting,Designer,24
EMP0444,27,Female,Oceania,Retail,HR,7
EMP0445,25,Prefer not to say,Africa,Retail,Software Engineer,18
EMP0446,52,Male,Africa,Healthcare,Designer,33
EMP0447,37,Non-binary,North America,Healthcare,Sales,28
EMP0448,22,Non-binary,South America,Retail,Project Manager,2
EMP0449,51,Male,Asia,Finance,HR,22
EMP0450,57,Male,Europe,IT,Project Manager,8
EMP0451,58,Prefer not to say,North America,Manufacturing,Data Scientist,32
EMP0452,32,Prefer not to say,Oceania,Finance,Data Scientist,21
EMP0453,41,Female,Oceania,Finance,Data Scientist,15
EMP0454,36,Female,Asia,Education,Marketing,10
EMP0455,51,Non-binary,Asia,Manufacturing,Data Scientist,2
EMP0456,60,Female,South America,Retail,Sales,10
EMP0457,34,Female,Africa,Healthcare,HR,28
EMP0458,33,Female,Oceania,Manufacturing,Sales,27
EMP0459,53,Prefer not to say,Asia,Consulting,Marketing,1
EMP0460,53,Female,Africa,Retail,Sales,7
EMP0461,40,Female,Europe,IT,Project Manager,12
EMP0462,36,Non-binary,Europe,Manufacturing,Designer,28
EMP0463,54,Prefer not to say,Europe,Healthcare,Designer,27
EMP0464,41,Prefer not to say,North America,IT,HR,19
EMP0465,55,Female,Europe,Consulting,Sales,15
EMP0466,34,Prefer not to say,Europe,Finance,Marketing,19
EMP0467,43,Prefer not to say,Europe,IT,Project Manager,17
EMP0468,37,Non-binary,Oceania,IT,Project Manager,26
EMP0469,37,Prefer not to say,Asia,Education,HR,14
EMP0470,57,Female,Africa,Finance,Sales,1
EMP0471,33,Female,Europe,IT,Sales,26
EMP0472,51,Female,Africa,Manufacturing,HR,14
EMP0473,50,Male,Europe,Manufacturing,Designer,17
EMP0474,35,Female,Asia,Consulting,Sales,26
EMP0475,40,Non-binary,Africa,Education,Marketing,33
EMP0476,53,Non-binary,South America,Retail,Project Manager,7
EMP0477,32,Male,Africa,Manufacturing,Marketing,5
EMP0478,56,Female,Africa,Retail,Designer,25
EMP0479,55,Female,South America,Finance,Sales,3
EMP0480,49,Non-binary,Africa,Retail,Project Manager,2
EMP0481,23,Female,North America,Retail,Software Engineer,13
EMP0482,38,Male,Africa,Retail,Sales,8
EMP0483,23,Male,Africa,Education,Marketing,16
EMP0484,29,Female,Africa,Education,Project Manager,21
EMP0485,24,Female,Europe,Consulting,Data Scientist,20
EMP0486,58,Male,South America,Finance,Software Engineer,12
