Employee_ID,Work_ID,Wellness_ID,Stress_Level,Work_Life_Balance_Rating,Productivity_Change,Social_Isolation_Rating,Satisfaction_with_Remote_Work
EMP0087,87,13,Low,1,Decrease,1,Satisfied
EMP0088,88,11,Medium,1,Increase,2,Unsatisfied
EMP0089,89,48,High,5,Increase,5,Neutral
EMP0090,90,27,Low,4,Increase,5,Unsatisfied
EMP0091,91,30,Medium,4,No Change,4,Unsatisfied
EMP0092,92,55,High,1,Decrease,3,Satisfied
EMP0093,93,52,Medium,5,Increase,3,Satisfied
EMP0094,94,36,High,4,Decrease,2,Satisfied
EMP0095,95,56,High,5,Decrease,2,Neutral
EMP0096,96,24,Low,5,Decrease,1,Satisfied
EMP0097,97,19,High,1,Decrease,5,Neutral
EMP0098,98,51,Low,4,Increase,4,Neutral
EMP0099,99,46,Low,1,No Change,4,Satisfied
EMP0100,100,39,Medium,2,Decrease,3,Satisfied
EMP0101,101,26,Medium,1,Increase,5,Satisfied
EMP0102,102,34,High,1,Increase,2,Neutral
EMP0103,103,24,High,4,No Change,4,Satisfied
EMP0104,104,42,High,4,Increase,4,Satisfied
EMP0105,105,47,Low,4,Decrease,4,Satisfied
EMP0106,106,57,High,3,Increase,3,Neutral
EMP0107,107,28,Medium,1,Decrease,4,Neutral
EMP0108,108,13,High,2,Decrease,2,Satisfied
EMP0109,109,19,Medium,4,No Change,1,Satisfied
EMP0110,110,46,Low,5,No Change,1,Neutral
EMP0111,111,14,High,3,Increase,5,Unsatisfied
EMP0112,112,55,Low,5,Decrease,5,Unsatisfied
EMP0113,113,4,Low,1,Increase,1,Satisfied
EMP0114,114,9,Low,3,Decrease,1,Neutral
EMP0115,115,3,High,2,No Change,5,Neutral
EMP0116,116,58,Medium,3,No Change,3,Unsatisfied
EMP0117,117,46,Medium,3,Increase,5,Satisfied
EMP0118,118,46,High,2,Increase,5,Satisfied
EMP0119,119,50,Medium,2,Increase,5,Satisfied
EMP0120,120,59,Medium,2,Decrease,2,Unsatisfied
EMP0121,121,18,High,2,Decrease,2,Neutral
EMP0122,122,42,High,5,No Change,2,Unsatisfied
EMP0123,123,49,High,2,No Change,3,Unsatisfied
EMP0124,124,5,Low,2,Increase,1,Satisfied
EMP0125,125,21,High,2,No Change,1,Unsatisfied
EMP0126,126,38,Low,3,Increase,5,Unsatisfied
EMP0127,127,57,Medium,2,Decrease,2,Unsatisfied
EMP0128,128,60,High,5,Decrease,2,Unsatisfied
EMP0129,129,34,Medium,4,No Change,2,Unsatisfied
EMP0130,130,60,Low,3,Decrease,5,Unsatisfied
EMP0131,131,16,Medium,1,No Change,5,Neutral
EMP0132,132,61,Low,5,Increase,2,Unsatisfied
EMP0133,133,16,Medium,3,No Change,4,Neutral
EMP0134,134,62,Low,1,Decrease,4,Satisfied
EMP0135,135,33,Medium,4,Increase,5,Unsatisfied
EMP0136,136,24,Medium,5,Increase,4,Unsatisfied
EMP0137,137,46,High,2,No Change,4,Neutral
EMP0138,138,11,Medium,4,No Change,5,Satisfied
EMP0139,139,25,High,3,Increase,3,Unsatisfied
EMP0140,140,14,Low,5,Decrease,5,Satisfied
EMP0141,141,45,High,1,Decrease,1,Satisfied
EMP0142,142,53,Low,5,Decrease,5,Neutral
EMP0143,143,33,High,5,No Change,2,Unsatisfied
EMP0144,144,46,Low,5,No Change,4,Satisfied
EMP0145,145,18,High,5,No Change,4,Unsatisfied
EMP0146,146,10,Medium,3,Decrease,4,Satisfied
EMP0147,147,63,Low,2,Increase,4,Neutral
EMP0148,148,29,Low,1,No Change,1,Unsatisfied
EMP0149,149,44,High,4,Decrease,3,Satisfied
EMP0150,150,17,Low,2,Decrease,1,Unsatisfied
EMP0151,151,14,High,3,Decrease,2,Unsatisfied
EMP0152,152,34,Low,4,No Change,3,Satisfied
EMP0153,153,19,Medium,1,Increase,2,Unsatisfied
EMP0154,154,4,Medium,1,No Change,2,Unsatisfied
EMP0155,155,5,Low,1,No Change,2,Unsatisfied
EMP0156,156,35,Low,1,Decrease,4,Neutral
EMP0157,157,56,High,4,Decrease,1,Satisfied
EMP0158,158,1,High,3,No Change,4,Neutral
EMP0159,159,21,Low,3,Increase,1,Unsatisfied
EMP0160,160,55,High,5,Increase,2,Satisfied
EMP0161,161,64,Medium,4,Decrease,2,Satisfied
EMP0162,162,60,High,3,No Change,4,Neutral
EMP0163,163,22,High,1,Increase,1,Unsatisfied
EMP0164,164,56,Medium,1,Increase,3,Neutral
EMP0165,165,24,Medium,1,Increase,5,Neutral
EMP0166,166,7,Low,2,Increase,1,Neutral
EMP0167,167,36,Low,2,No Change,3,Satisfied
EMP0168,168,65,High,2,No Change,3,Satisfied
EMP0169,169,59,Medium,2,No Change,3,Satisfied
EMP0170,170,40,Low,1,Increase,5,Satisfied
EMP0171,171,25,Low,1,Increase,4,Neutral
EMP0172,172,66,Medium,4,Decrease,3,Unsatisfied
EMP0173,173,55,Medium,1,No Change,4,Satisfied
EMP0174,174,62,High,2,Increase,1,Neutral
EMP0175,92,32,Low,2,Decrease,3,Unsatisfied
EMP0176,175,29,Low,3,No Change,5,Satisfied
EMP0177,176,66,Medium,3,No Change,5,Satisfied
EMP0178,177,16,Medium,1,Decrease,3,Neutral
EMP0179,178,35,High,4,Increase,4,Satisfied
EMP0180,179,54,Medium,2,Decrease,3,Unsatisfied
EMP0181,180,40,Medium,1,Decrease,5,Neutral
EMP0182,181,62,Low,5,Decrease,4,Unsatisfied
EMP0183,182,61,Low,2,Increase,4,Satisfied
EMP0184,183,67,High,3,No Change,3,Neutral
EMP0185,184,67,Medium,5,Decrease,1,Neutral
EMP0186,185,8,Medium,1,No Change,1,Unsatisfied
EMP0187,186,14,Medium,5,Decrease,5,Unsatisfied
EMP0188,187,39,High,5,No Change,5,Neutral
EMP0189,188,51,High,5,No Change,2,Unsatisfied
EMP0190,189,53,Low,1,No Change,4,Satisfied
EMP0191,190,43,Low,3,Decrease,5,Satisfied
EMP0192,191,45,Medium,1,No Change,4,Unsatisfied
EMP0193,192,30,Medium,5,No Change,4,Unsatisfied
EMP0194,193,63,Medium,2,Decrease,5,Neutral
EMP0195,194,24,Medium,1,No Change,4,Neutral
EMP0196,195,25,Medium,2,Decrease,5,Neutral
EMP0197,196,49,Low,1,Increase,3,Neutral
EMP0198,197,5,Low,1,Decrease,1,Neutral
EMP0199,198,40,High,4,Decrease,1,Unsatisfied
EMP0200,199,23,High,3,Decrease,2,Unsatisfied
EMP0201,200,23,Medium,4,Increase,4,Neutral
EMP0202,201,2,Medium,2,Decrease,2,Neutral
EMP0203,202,26,Low,5,Decrease,2,Satisfied
EMP0204,203,55,Low,3,No Change,3,Neutral
EMP0205,204,24,Medium,5,No Change,4,Unsatisfied
EMP0206,205,40,Low,5,Increase,4,Satisfied
EMP0207,206,57,Low,3,No Change,2,Unsatisfied
EMP0208,207,55,Low,3,Decrease,5,Unsatisfied
EMP0209,208,14,High,4,Decrease,1,Satisfied
EMP0210,209,64,Medium,2,No Change,3,Unsatisfied
EMP0211,210,7,High,5,No Change,1,Satisfied
EMP0212,211,52,Low,4,No Change,2,Satisfied
EMP0213,212,35,High,1,No Change,2,Satisfied
EMP0214,213,58,Low,1,Decrease,4,Satisfied
EMP0215,214,63,Low,1,Increase,3,Neutral
EMP0216,215,24,Medium,2,Decrease,1,Neutral
EMP0217,216,26,Medium,3,Increase,4,Satisfied
EMP0218,217,29,Low,2,Increase,2,Neutral
EMP0219,218,15,Low,3,No Change,1,Satisfied
EMP0220,219,55,Low,4,No Change,2,Unsatisfied
EMP0221,220,35,Medium,5,Decrease,1,Satisfied
EMP0222,221,6,High,4,Increase,3,Neutral
EMP0223,222,58,High,3,No Change,5,Unsatisfied
EMP0224,223,68,High,3,Decrease,4,Satisfied
EMP0225,224,18,Low,1,Increase,2,Unsatisfied
EMP0226,225,62,Low,1,Increase,3,Neutral
EMP0227,226,5,Medium,5,Increase,4,Satisfied
EMP0228,227,10,Medium,2,Increase,3,Satisfied
EMP0229,228,55,Medium,3,Decrease,3,Neutral
EMP0230,229,17,Low,2,Decrease,3,Satisfied
EMP0231,230,23,Medium,1,No Change,5,Unsatisfied
EMP0232,231,19,Low,4,Decrease,3,Satisfied
EMP0233,232,19,Low,5,Decrease,1,Unsatisfied
EMP0234,233,5,High,3,Increase,3,Neutral
EMP0235,234,34,Low,4,No Change,2,Neutral
EMP0236,235,38,Low,2,No Change,4,Unsatisfied
EMP0237,236,30,Medium,1,Decrease,2,Neutral
EMP0238,237,21,Medium,5,No Change,1,Satisfied
EMP0239,238,12,Low,5,Increase,4,Neutral
EMP0240,239,37,Low,1,No Change,1,Neutral
EMP0241,240,22,High,4,No Change,3,Neutral
EMP0242,241,69,High,2,Increase,3,Satisfied
EMP0243,242,1,Medium,1,Decrease,5,Neutral
EMP0244,243,19,High,2,Decrease,1,Neutral
EMP0245,244,45,High,2,No Change,1,Neutral
EMP0246,245,49,Low,2,Increase,2,Satisfied
EMP0247,246,15,Low,5,Increase,3,Neutral
EMP0248,247,31,Medium,1,Increase,2,Unsatisfied
EMP0249,248,8,Medium,3,Decrease,5,Neutral
EMP0250,249,11,Low,5,No Change,4,Satisfied
EMP0251,250,58,High,1,Increase,2,Satisfied
EMP0252,251,12,High,4,No Change,3,Unsatisfied
EMP0253,252,29,Low,3,Increase,3,Neutral
EMP0254,253,15,Medium,3,Increase,3,Unsatisfied
EMP0255,254,57,Medium,5,Decrease,2,Neutral
EMP0256,255,61,Medium,3,Decrease,5,Unsatisfied
EMP0257,256,18,Medium,1,Increase,2,Unsatisfied
EMP0258,257,52,Medium,3,Decrease,3,Satisfied
EMP0259,258,18,Medium,1,No Change,1,Satisfied
EMP0260,259,61,Medium,2,Increase,2,Neutral
EMP0261,260,33,High,4,Increase,3,Neutral
EMP0262,261,24,Low,1,No Change,1,Neutral
EMP0263,262,38,Medium,3,No Change,1,Neutral
EMP0264,263,20,Medium,5,Decrease,3,Neutral
EMP0265,264,64,Medium,1,No Change,4,Satisfied
EMP0266,265,12,Medium,4,No Change,3,Satisfied
EMP0267,266,38,Medium,3,Decrease,3,Satisfied
EMP0268,267,64,Medium,4,Decrease,5,Unsatisfied
EMP0269,268,52,Medium,4,Increase,3,Unsatisfied
EMP0270,269,21,High,4,Increase,5,Neutral
EMP0271,270,58,High,4,Increase,5,Satisfied
EMP0272,271,27,Medium,2,No Change,3,Satisfied
EMP0273,272,53,Medium,4,Decrease,1,Unsatisfied
EMP0274,273,66,High,3,Decrease,3,Neutral
EMP0275,274,22,Low,2,Decrease,2,Satisfied
EMP0276,275,44,Low,4,No Change,4,Satisfied
EMP0277,276,64,High,4,Decrease,4,Satisfied
EMP0278,277,52,Low,3,Increase,4,Neutral
EMP0279,278,9,Medium,4,Decrease,2,Unsatisfied
EMP0280,97,70,Medium,1,No Change,4,Satisfied
EMP0281,279,14,Low,1,No Change,3,Unsatisfied
EMP0282,280,63,Medium,5,No Change,3,Satisfied
EMP0283,281,35,Medium,1,Decrease,5,Neutral
EMP0284,282,71,High,5,Increase,1,Unsatisfied
EMP0285,190,20,Low,2,Decrease,2,Neutral
EMP0286,283,58,Medium,4,Decrease,1,Unsatisfied
EMP0287,284,35,Medium,4,Increase,5,Unsatisfied
EMP0288,285,54,High,2,Decrease,3,Neutral
EMP0289,286,13,Low,4,Decrease,5,Neutral
EMP0290,287,3,Medium,4,No Change,1,Neutral
EMP0291,288,56,High,1,Decrease,4,Satisfied
EMP0292,289,71,High,4,Decrease,4,Neutral
EMP0293,290,69,Medium,3,Increase,4,Neutral
EMP0294,291,47,Low,5,Decrease,3,Satisfied
EMP0295,292,30,Low,4,Decrease,5,Unsatisfied
EMP0296,293,54,Low,3,Decrease,2,Satisfied
EMP0297,294,25,Low,3,No Change,1,Satisfied
EMP0298,295,38,Medium,5,No Change,5,Neutral
EMP0299,296,35,Low,2,Decrease,4,Neutral
EMP0300,297,25,Low,1,Decrease,3,Satisfied
EMP0301,298,29,Medium,3,Decrease,5,Neutral
EMP0302,299,27,Medium,2,Decrease,4,Unsatisfied
EMP0303,300,24,High,3,Increase,3,Satisfied
EMP0304,301,5,High,1,No Change,2,Neutral
EMP0305,302,50,Medium,4,Decrease,5,Satisfied
EMP0306,303,17,High,5,No Change,2,Unsatisfied
EMP0307,304,36,Low,2,Decrease,4,Unsatisfied
EMP0308,305,47,Medium,4,Increase,1,Satisfied
EMP0309,306,28,Low,3,Increase,3,Satisfied
EMP0310,307,9,Medium,2,No Change,2,Satisfied
EMP0311,308,62,Low,3,No Change,3,Neutral
EMP0312,309,16,Medium,1,Decrease,2,Neutral
EMP0313,310,28,Low,5,Increase,2,Neutral
EMP0314,311,12,High,3,Decrease,2,Satisfied
EMP0315,312,53,Medium,3,Decrease,1,Satisfied
EMP0316,313,13,Medium,5,Increase,2,Neutral
EMP0317,314,44,Low,2,Decrease,3,Neutral
EMP0318,315,45,Medium,2,Increase,1,Unsatisfied
EMP0319,316,38,Low,2,No Change,1,Satisfied
EMP0320,317,62,Low,4,No Change,1,Neutral
EMP0321,318,40,Low,2,Increase,4,Neutral
EMP0322,319,35,Medium,3,Increase,3,Unsatisfied
EMP0323,320,48,Low,3,Decrease,4,Neutral
EMP0324,321,40,Medium,1,Increase,1,Unsatisfied
EMP0325,322,70,High,4,Decrease,3,Unsatisfied
EMP0326,323,9,Low,2,Decrease,1,Satisfied
EMP0327,324,13,High,2,Increase,5,Satisfied
EMP0328,325,47,High,2,Increase,4,Satisfied
EMP0329,27,27,High,1,Increase,1,Neutral
EMP0330,99,36,Low,5,Increase,3,Unsatisfied
EMP0331,326,66,Low,5,Increase,3,Satisfied
EMP0332,148,21,Medium,5,Decrease,1,Satisfied
EMP0333,327,54,Medium,4,Decrease,5,Neutral
EMP0334,328,65,High,2,Increase,5,Unsatisfied
EMP0335,329,57,High,4,Increase,2,Satisfied
EMP0336,330,45,Low,2,Increase,2,Satisfied
EMP0337,331,40,High,4,Decrease,1,Unsatisfied
EMP0338,332,37,Medium,5,Increase,2,Neutral
EMP0339,333,66,Low,2,Decrease,1,Unsatisfied
EMP0340,334,33,High,5,No Change,1,Neutral
EMP0341,335,72,High,1,No Change,2,Unsatisfied
EMP0342,336,72,Low,2,Decrease,5,Satisfied
EMP0343,337,4,Medium,5,Increase,1,Unsatisfied
EMP0344,338,71,High,3,No Change,4,Satisfied
EMP0345,142,34,Low,2,Decrease,2,Satisfied
EMP0346,339,66,High,4,Decrease,3,Unsatisfied
EMP0347,340,59,Medium,1,No Change,1,Unsatisfied
EMP0348,341,61,High,4,No Change,3,Unsatisfied
EMP0349,342,62,Low,3,Decrease,2,Neutral
EMP0350,343,62,Medium,1,Decrease,4,Unsatisfied
EMP0351,344,61,High,1,Decrease,3,Unsatisfied
EMP0352,345,64,Medium,3,Increase,2,Neutral
EMP0353,346,66,Low,1,Decrease,2,Satisfied
EMP0354,347,47,Medium,2,Decrease,5,Unsatisfied
EMP0355,348,29,Medium,5,Increase,4,Satisfied
EMP0356,349,42,Low,1,Increase,2,Satisfied
EMP0357,350,39,Low,1,Increase,2,Neutral
EMP0358,351,9,Medium,3,Decrease,4,Unsatisfied
EMP0359,352,15,Medium,3,Increase,4,Neutral
EMP0360,353,44,Medium,2,Decrease,4,Satisfied
EMP0361,354,34,Medium,1,Increase,1,Satisfied
EMP0362,355,60,Medium,1,Increase,5,Satisfied
EMP0363,356,60,Medium,4,Increase,1,Satisfied
EMP0364,357,58,High,3,No Change,2,Unsatisfied
EMP0365,358,37,Low,1,No Change,2,Neutral
EMP0366,359,33,Medium,4,Decrease,2,Neutral
EMP0367,360,26,Medium,5,Increase,3,Neutral
EMP0368,361,41,Medium,2,Decrease,2,Neutral
EMP0369,362,57,High,1,No Change,4,Satisfied
EMP0370,363,46,Low,4,No Change,1,Neutral
EMP0371,364,60,Medium,1,Decrease,1,Satisfied
EMP0372,365,16,Medium,4,Increase,2,Unsatisfied
EMP0373,366,66,High,5,No Change,5,Neutral
EMP0374,367,5,Medium,3,Increase,2,Unsatisfied
EMP0375,368,9,High,1,Increase,1,Unsatisfied
EMP0376,369,41,Low,3,Decrease,2,Neutral
EMP0377,370,25,Medium,1,Decrease,2,Neutral
EMP0378,371,46,High,5,No Change,3,Unsatisfied
EMP0379,372,32,High,5,Increase,3,Neutral
EMP0380,373,52,High,2,Decrease,5,Neutral
EMP0381,374,59,Medium,3,Increase,4,Unsatisfied
EMP0382,375,13,Medium,2,No Change,5,Neutral
EMP0383,376,23,Low,3,Decrease,2,Neutral
EMP0384,377,48,Medium,3,No Change,1,Satisfied
EMP0385,378,53,High,2,Increase,1,Neutral
EMP0386,379,15,High,1,Increase,5,Unsatisfied
EMP0387,380,36,Medium,3,No Change,1,Neutral
EMP0388,381,20,High,5,Decrease,4,Neutral
EMP0389,382,12,High,5,No Change,2,Neutral
EMP0390,383,19,Medium,5,No Change,3,Satisfied
EMP0391,384,38,Medium,3,Decrease,1,Satisfied
EMP0392,385,16,Medium,5,Increase,5,Unsatisfied
EMP0393,386,63,Low,5,No Change,4,Neutral
EMP0394,387,48,Low,4,No Change,4,Satisfied
EMP0395,388,14,Medium,2,No Change,3,Neutral
EMP0396,389,2,Medium,3,Increase,4,Satisfied
EMP0397,361,23,Low,5,No Change,4,Unsatisfied
EMP0398,390,52,High,1,Increase,3,Neutral
EMP0399,391,46,Medium,2,No Change,2,Neutral
EMP0400,392,62,High,5,Decrease,1,Satisfied
EMP0401,393,7,High,4,No Change,4,Neutral
EMP0402,394,18,Low,4,Decrease,1,Satisfied
EMP0403,395,13,Low,2,Decrease,2,Neutral
EMP0404,396,69,High,3,Increase,3,Unsatisfied
EMP0405,397,18,Medium,4,Increase,2,Unsatisfied
EMP0406,398,35,High,4,No Change,2,Neutral
EMP0407,399,60,High,3,Decrease,3,Satisfied
EMP0408,52,34,Low,4,Decrease,2,Satisfied
EMP0409,400,33,Low,1,Decrease,5,Satisfied
EMP0410,401,55,Medium,2,No Change,3,Unsatisfied
EMP0411,402,39,Medium,2,No Change,4,Unsatisfied
EMP0412,403,28,Medium,5,Decrease,5,Unsatisfied
EMP0413,404,71,Medium,1,No Change,2,Neutral
EMP0414,405,15,Medium,1,Decrease,3,Satisfied
EMP0415,406,34,Medium,3,Increase,4,Satisfied
EMP0416,407,26,Low,4,Decrease,4,Satisfied
EMP0417,12,67,High,4,No Change,2,Unsatisfied
EMP0418,408,34,Medium,2,Increase,2,Unsatisfied
EMP0419,409,1,High,4,No Change,4,Neutral
EMP0420,410,7,Medium,2,No Change,2,Neutral
EMP0421,411,69,Medium,1,Decrease,4,Satisfied
EMP0422,412,54,Medium,1,Increase,3,Satisfied
EMP0423,413,6,High,2,Decrease,2,Unsatisfied
EMP0424,414,27,Medium,5,Increase,1,Neutral
EMP0425,415,58,Medium,2,Increase,2,Neutral
EMP0426,416,21,Medium,1,Decrease,1,Neutral
EMP0427,417,61,Low,2,Increase,2,Neutral
EMP0428,418,68,Low,4,No Change,1,Satisfied
EMP0429,419,29,High,1,No Change,3,Neutral
EMP0430,420,7,High,5,Increase,5,Satisfied
EMP0431,421,60,High,3,Increase,2,Unsatisfied
EMP0432,422,20,High,3,No Change,1,Unsatisfied
EMP0433,63,69,High,5,Decrease,1,Neutral
EMP0434,423,52,Low,2,Decrease,3,Neutral
EMP0435,424,7,High,5,Decrease,3,Satisfied
EMP0436,425,32,Medium,2,No Change,3,Satisfied
EMP0437,426,1,High,4,Increase,2,Unsatisfied
EMP0438,427,12,Medium,2,Decrease,5,Neutral
EMP0439,428,50,High,4,Increase,2,Satisfied
EMP0440,429,38,Medium,1,Decrease,3,Neutral
EMP0441,430,67,Low,2,Decrease,2,Satisfied
EMP0442,431,10,Low,4,No Change,1,Neutral
EMP0443,432,36,High,1,Decrease,4,Unsatisfied
EMP0444,433,19,High,5,Increase,5,Unsatisfied
EMP0445,434,3,Low,3,Increase,1,Neutral
EMP0446,435,44,Low,2,No Change,3,Unsatisfied
EMP0447,436,34,Low,5,Increase,1,Unsatisfied
EMP0448,437,19,Medium,3,Increase,4,Satisfied
EMP0449,438,38,Low,1,Decrease,4,Unsatisfied
EMP0450,439,53,High,1,Decrease,1,Unsatisfied
EMP0451,440,58,Low,5,No Change,4,Satisfied
EMP0452,441,41,High,3,No Change,4,Satisfied
EMP0453,219,50,Low,4,Increase,4,Unsatisfied
EMP0454,442,16,Medium,4,Decrease,5,Unsatisfied
EMP0455,443,8,Low,3,Decrease,4,Satisfied
EMP0456,444,37,Low,4,Increase,4,Satisfied
EMP0457,445,11,Medium,3,No Change,2,Neutral
EMP0458,446,68,Medium,2,No Change,2,Unsatisfied
EMP0459,447,20,High,3,No Change,1,Satisfied
EMP0460,448,36,Low,5,Increase,2,Unsatisfied
EMP0461,449,52,Medium,2,Decrease,2,Satisfied
EMP0462,450,24,Medium,5,Decrease,2,Neutral
EMP0463,451,38,High,1,Decrease,1,Satisfied
EMP0464,452,20,Low,3,No Change,3,Satisfied
EMP0465,453,48,High,4,No Change,1,Unsatisfied
EMP0466,454,6,High,1,Decrease,5,Unsatisfied
EMP0467,455,68,Medium,2,Increase,2,Neutral
EMP0468,433,45,Medium,1,Decrease,5,Satisfied
EMP0469,456,61,Low,1,Decrease,4,Satisfied
EMP0470,457,27,Low,4,No Change,1,Unsatisfied
EMP0471,458,67,Low,2,No Change,1,Neutral
EMP0472,459,43,High,2,Decrease,3,Neutral
EMP0473,460,5,Medium,3,Decrease,5,Satisfied
EMP0474,461,26,Medium,2,Decrease,1,Unsatisfied
EMP0475,462,4,Low,2,Increase,4,Satisfied
EMP0476,463,10,Low,3,No Change,3,Satisfied
EMP0477,464,18,Low,2,Increase,4,Unsatisfied
EMP0478,465,24,High,4,Decrease,3,Satisfied
EMP0479,466,42,Low,1,Decrease,2,Unsatisfied
EMP0480,467,69,Low,4,No Change,1,Unsatisfied
EMP0481,468,23,High,2,Decrease,3,Neutral
EMP0482,469,45,Medium,2,Decrease,3,Unsatisfied
EMP0483,470,69,Medium,3,Decrease,2,Neutral
EMP0484,471,51,Low,2,Increase,1,Satisfied
EMP0485,415,64,Low,1,Increase,1,Satisfied
EMP0486,472,19,Low,5,No Change,2,Neutral
EMP0487,473,2,Low,1,Increase,5,Neutral
EMP0488,474,3,Low,1,No Change,1,Neutral
EMP0489,475,40,Low,3,Increase,4,Unsatisfied
EMP0490,476,42,Medium,5,Increase,2,Unsatisfied
EMP0491,477,35,High,2,No Change,4,Satisfied
EMP0492,478,11,High,4,Increase,2,Neutral
EMP0493,479,14,Medium,1,No Change,2,Neutral
EMP0494,480,71,High,1,Decrease,2,Unsatisfied
EMP0495,481,41,Medium,4,Decrease,5,Neutral
EMP0496,63,60,Low,2,No Change,1,Neutral
EMP0497,482,58,Medium,4,No Change,2,Unsatisfied
EMP0498,483,57,Low,4,No Change,2,Neutral
EMP0499,484,34,Low,4,Increase,5,Unsatisfied
